ctry,year,nace2,nace4,share4,rev4
CZ,2018,11,1101,0.0014612898276642,2.771963051501223e8
CZ,2018,11,1102,0.0012231955341553953,2.32031508140986e8
CZ,2018,11,1103,1.6222850248630042e-7,30773.595099283535
CZ,2018,11,1104,7.773038327187054e-6,1.474490182095261e6
CZ,2018,11,1105,0.0076315034702867076,1.4476420246387494e9
CZ,2018,11,1106,0.0013895297447578763,2.6358392691938135e8
CZ,2018,11,1107,0.0037805367062951037,7.171409713735665e8
CZ,2018,12,1200,3.8601505945144204e-5,7.322431607101645e6
CZ,2018,13,1310,0.0006947746428632364,1.3179381685119161e8
CZ,2018,13,1320,0.002457541263299247,4.6617812910489774e8
CZ,2018,13,1330,0.00012967720951772088,2.4598845937324077e7
CZ,2018,13,1391,0.00021402011001705155,4.059809532745356e7
CZ,2018,13,1392,0.0015324050734472137,2.90686362356915e8
CZ,2018,13,1393,0.00011122720003349229,2.109901013323325e7
CZ,2018,13,1394,0.00041117163993423695,7.799634077688122e7
CZ,2018,13,1395,0.002428548391252602,4.606783871270407e8
CZ,2018,13,1396,0.003158641623699933,5.99171889660349e8
CZ,2018,13,1399,9.85757649585927e-5,1.869912272471383e7
CZ,2018,14,1411,3.26886175513777e-5,6.200798660311735e6
CZ,2018,14,1412,0.000639536985319696,1.2131562540255055e8
CZ,2018,14,1413,0.0017778390061813805,3.37243436815664e8
CZ,2018,14,1414,0.0005931402378274179,1.1251449182017261e8
CZ,2018,14,1419,0.0006221382050100917,1.1801520030915883e8
CZ,2018,14,1420,2.8997967182673764e-5,5.500708488986216e6
CZ,2018,14,1431,0.0002757443061188796,5.230673708617802e7
CZ,2018,14,1439,0.00012284593370114522,2.3303001416977968e7
CZ,2018,15,1511,8.935246901352143e-5,1.694952896933502e7
CZ,2018,15,1512,0.000496331022566817,9.415047103066497e7
CZ,2018,15,1520,0.0003785065229115059,7.18e7
CZ,2018,16,1610,0.00571871693669083,1.0848e9
CZ,2018,16,1621,0.003398124020456222,6.446000000000001e8
CZ,2018,16,1622,0.00011492259330739316,2.18e7
