ctry,year,nace2,share2,rev2
BG,2018,21,0.01792692452550067,6.288137681187243e8
BG,2018,21,0.01792692452550067,6.288137681187243e8
BG,2018,22,0.05165566689949111,1.8119e9
BG,2018,22,0.05165566689949111,1.8119e9
BG,2018,22,0.05165566689949111,1.8119e9
BG,2018,22,0.05165566689949111,1.8119e9
BG,2018,22,0.05165566689949111,1.8119e9
BG,2018,22,0.05165566689949111,1.8119e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,23,0.042452924322552134,1.4891e9
BG,2018,24,0.14853534417630038,5.2101e9
BG,2018,24,0.14853534417630038,5.2101e9
BG,2018,24,0.14853534417630038,5.2101e9
BG,2018,24,0.14853534417630038,5.2101e9
BG,2018,24,0.14853534417630038,5.2101e9
BG,2018,24,0.14853534417630038,5.2101e9
BG,2018,24,0.14853534417630038,5.2101e9
BG,2018,24,0.14853534417630038,5.2101e9
BG,2018,24,0.14853534417630038,5.2101e9
BG,2018,24,0.14853534417630038,5.2101e9
BG,2018,24,0.14853534417630038,5.2101e9
BG,2018,24,0.14853534417630038,5.2101e9
BG,2018,24,0.14853534417630038,5.2101e9
BG,2018,24,0.14853534417630038,5.2101e9
BG,2018,25,0.06529727880489787,2.2904e9
BG,2018,25,0.06529727880489787,2.2904e9
BG,2018,25,0.06529727880489787,2.2904e9
BG,2018,25,0.06529727880489787,2.2904e9
BG,2018,25,0.06529727880489787,2.2904e9
BG,2018,25,0.06529727880489787,2.2904e9
BG,2018,25,0.06529727880489787,2.2904e9
BG,2018,25,0.06529727880489787,2.2904e9
BG,2018,25,0.06529727880489787,2.2904e9
BG,2018,25,0.06529727880489787,2.2904e9
BG,2018,25,0.06529727880489787,2.2904e9
BG,2018,25,0.06529727880489787,2.2904e9
BG,2018,25,0.06529727880489787,2.2904e9
BG,2018,25,0.06529727880489787,2.2904e9
BG,2018,25,0.06529727880489787,2.2904e9
BG,2018,25,0.06529727880489787,2.2904e9
BG,2018,25,0.06529727880489787,2.2904e9
BG,2018,26,0.018998474762305248,6.664e8
BG,2018,26,0.018998474762305248,6.664e8
BG,2018,26,0.018998474762305248,6.664e8
BG,2018,26,0.018998474762305248,6.664e8
BG,2018,26,0.018998474762305248,6.664e8
BG,2018,26,0.018998474762305248,6.664e8
BG,2018,26,0.018998474762305248,6.664e8
BG,2018,26,0.018998474762305248,6.664e8
BG,2018,26,0.018998474762305248,6.664e8
BG,2018,26,0.018998474762305248,6.664e8
BG,2018,27,0.056328310977435035,1.9758e9
BG,2018,27,0.056328310977435035,1.9758e9
BG,2018,27,0.056328310977435035,1.9758e9
BG,2018,27,0.056328310977435035,1.9758e9
BG,2018,27,0.056328310977435035,1.9758e9
BG,2018,27,0.056328310977435035,1.9758e9
BG,2018,27,0.056328310977435035,1.9758e9
BG,2018,27,0.056328310977435035,1.9758e9
BG,2018,27,0.056328310977435035,1.9758e9
BG,2018,28,0.05433552378372985,1.9059e9
BG,2018,28,0.05433552378372985,1.9059e9
BG,2018,28,0.05433552378372985,1.9059e9
BG,2018,28,0.05433552378372985,1.9059e9
BG,2018,28,0.05433552378372985,1.9059e9
BG,2018,28,0.05433552378372985,1.9059e9
BG,2018,28,0.05433552378372985,1.9059e9
